Analysis,Phased,chrom,Memory (Kb),Runtime (sec.),XPCLR runtime,XPCLR memory,Fold improvement (runtime),Fold improvement (memory)
xpclrs (8 threads),yes,9,"1,203,268.000",610,"26,933","11,704,808.000",44.152,9.728
"xpclrs (8 threads, --plink, --fast)",no,17,"3,287,300.000",27,"18,166","7,702,276.000",672.815,2.343
xpclrs (8 threads),yes,14,"897,092.000",456,"20,965","8,763,952.000",45.976,9.769
xpclr,yes,16,"8,858,828.000","21,122","21,122","8,858,828.000",1.000,1.000
xpclrs (1 thread),yes,18,"770,560.000",915,"19,197","7,496,860.000",20.980,9.729
xpclr,yes,14,"8,763,952.000","20,965","20,965","8,763,952.000",1.000,1.000
xpclrs (8 threads),yes,16,"882,172.000",464,"21,122","8,858,828.000",45.522,10.042
"xpclrs (8 threads, --plink, --fast)",no,15,"3,418,788.000",28,"18,703","7,983,924.000",667.964,2.335
xpclrs (1 thread),no,5,"1,232,848.000","2,085","40,729","17,199,296.000",19.534,13.951
"xpclrs (1 thread, --plink)",no,4,"8,128,352.000","1,517","45,128","18,775,756.000",29.748,2.310
"xpclrs (8 threads, --plink)",no,19,"2,614,596.000",74,"14,241","6,055,488.000",192.446,2.316
"xpclrs (1 thread, --plink)",no,15,"3,422,112.000",608,"18,703","7,983,924.000",30.762,2.333
"xpclrs (8 threads, --fast)",yes,19,"648,528.000",262,"15,417","6,055,516.000",58.844,9.337
"xpclrs (8 threads, --fast)",yes,18,"773,740.000",319,"19,197","7,496,860.000",60.179,9.689
"xpclrs (1 thread, --plink)",no,14,"3,756,932.000",682,"22,440","8,764,848.000",32.903,2.333
"xpclrs (8 threads, --plink)",no,18,"3,211,704.000",91,"19,307","7,493,428.000",212.165,2.333
"xpclrs (1 thread, --plink)",no,5,"7,412,956.000","1,330","40,729","17,199,296.000",30.623,2.320
xpclrs (1 thread),no,4,"1,404,644.000","2,351","45,128","18,775,756.000",19.195,13.367
"xpclrs (8 threads, --fast)",no,1,"1,545,400.000",905,"52,485","21,162,396.000",57.994,13.694
"xpclrs (8 threads, --plink, --fast)",no,14,"3,754,960.000",31,"22,440","8,764,848.000",723.871,2.334
xpclrs (8 threads),yes,17,"769,256.000",398,"19,323","7,702,384.000",48.550,10.013
xpclr,yes,15,"7,982,736.000","18,623","18,623","7,982,736.000",1.000,1.000
xpclr,yes,18,"7,496,860.000","19,197","19,197","7,496,860.000",1.000,1.000
xpclrs (1 thread),yes,16,"880,300.000","1,077","21,122","8,858,828.000",19.612,10.063
"xpclrs (8 threads, --plink, --fast)",no,19,"2,612,364.000",22,"14,241","6,055,488.000",647.318,2.318
xpclr,yes,1,"21,152,664.000","52,992","52,992","21,152,664.000",1.000,1.000
